"NZ_16_ASCII","FIN_ID","SKRJ_ID","HAFAS_ID","EPA_ID"
"GrÍbÛw","2078","065409","5101247",""
"SOB”W","2225","065458","5103289",""
"£omnica Dolna","6253","056051","5101972",""
"Strzegom","6432","056309","5103386",""
"Biskupice K/Kl.","6038","061333","5100452",""
"Rozmierka","6390","061770","5103122",""
"Rzπsawa","4299","063123","5103229",""
"Dubidze Kolonia","4098","063222","5100999",""
"GÛrki Szczuk","2075","063628","5101274",""
"Tumlin","2269","063776","5103851",""
"Lublin Zemborz.","2135","051375","5102169","00864"
"KrÍønica Jara","2123","051383","5101626","00853"
"SulÛw","2247","051540","5103659","00883"
"Czerwionka","4079","068122","5101963",""
"Pisarzowa","3214","082289","5102913",""
"Boguchwa≥a","3040","082727","5100515","00297"
"Strzebielewo","8364","002352","5103283",""
"Rosnowo Choj.","8312","002758","5103147",""
"Bielice ParsÛw","8040","002865","5100434",""
"Okonek","8261","003236","5102556","00552"
"RzÍúnica","8323","003251","5103164",""
"Wrzeúnica","8445","004879","5104083","00917"
"StÍknica","5591","005348","5103623","00894"
"RÛøyny","5534","007062","5103133",""
"Rokitki Tczew.","5529","008722","5103152",""
"Lubomino","5355","009340","5102058",""
"Wipsowo","5692","009738","5104021",""
"Øugienie","5732","011320","5100324",""
"M≥ynary","5388","011445","5102291","00847"
"WasilÛwka","1514","012187","5104183",""
"Bajtkowo","1028","012260","5100361","01148"
"Pogorzel Wielka","1361","012294","5102741","01149"
"Woünice","1532","012534","5104099",""
"GodkÛw","0505","013250","5100103",""
"Orzesze ZawiúÊ","4242","068189","5104400",""
"Zabrze P≥n.","4387","069773","5104269",""
"Zabrze","0251","069823","5100070","00146"
"Wieszowa","4365","071225","5104027",""
"Dzia≥oszyn","4100","072025","5101023",""
"StrzebiÒ","4325","072157","5103359","00429"
"Sosnowiec DaÒd.","4310","073403","5103320",""
"Sosnowiec Jezor","4311","073684","5103532",""
"Bukow.Przymiarki","4266","074260","5102981",""
"SkoczÛw B≥adnice","4306","076943","5103427","00649"
"Wis≥a Kopyd≥o","4370","077032","5104058","00737"
"CHAB”WKA","3047","078709","5100091","00154"
"Szaflary","3293","078956","5103737","00667"
"Bia≥y Dunajec","3034","078964","5100404","00284"
"Metelin","2149","066159","5102227","00836"
"Wola Duøa","2289","066456","",""
"Maciowakrze","6258","067371","",""
"S≥awiÍcice","4307","067801","5103301","01115"
"Pi≥a LeszkÛw","8272","014449","5102798",""
"KlÍpnica","8167","003483","5101748",""
"Chociwel","8063","003517","5100796","00820"
"G≥owaczewo","8118","004176","5101297","00390"
"RaduÒ","5514","017640","5103027",""
"Mojusz","5391","018127","5102309",""
"Anieliny","5022","018242","5100337",""
"Witos≥aw","5693","018283","5104171",""
"SuchatÛwka","5605","018812","5103664",""
"Jaksice","5238","019034","5101377",""
"Szadek","5611","019364","5103322",""
"Wa≥dowo Szlach","5666","020644","5104067",""
"Ga≥czewko","5134","021303","5101065",""
"Lubanie","5349","021659","5102126","00308"
"Czerniewice","5101","021683","5100831","01152"
"I£AWA G£”WNA","0053","021808","5100075","00161"
"Koz≥owo","5299","022236","5101893",""
"Gierwaty","1128","023655","5101151",""
"£omøa","0420","023804","5102054",""
"Racibory","1380","024661","5103048","01096"
"JastrzÍbna","1175","024935","5101461",""
"ZarÍby Koúcielne","1546","038356","5104385",""
"Warszawa Weso≥a","1516","038679","5103992",""
"Wwa Olsz Groch","1490","038745","5103927",""
"Otwock","0147","038885","5102637","00089"
"Nowe Drezdenko","8253","029215","5102461","00532"
"RÍbusz","8310","029454","5103047","01129"
"Gπdki","7127","030239","5101058",""
"KIEKRZ","7189","030668","5101606",""
"Mieleszyn","7280","030866","5102257",""
"Marzenin","7276","030916","5102329",""
"KOBYLNICA","7198","031021","5101536","01177"
"Zawidz","1548","032805","5104319",""
"KÍszyce","1193","032979","5101587",""
"Bobrowniki","1053","033019","5100530",""
"Konin MarantÛw","7204","033258","",""
"NieporÍt","1300","036624","5102446",""
"Dπbkowizna","1101","036640","5100884",""
"Terespol","0222","040998","5100084","00132"
"KoøuchÛw","7214","041483","5101722",""
"Krobia","7220","042838","5101533",""
"G≥ogÛwek","6117","067462","5101142","00226"
"Muszyna ZdrÛj","3188","082446","5102362","00515"
"Krzemienica","3144","082651","5101688",""
"Cmolas","3056","082990","5100770",""
"Nowa Sarzyna Kol","3196","083253","5102481",""
"Milcza","3176","083683","5102196","00512"
"Uherce","3312","083923","5103899","01114"
"Grudki","1153","118315","",""
"Rajcza Centrum","4407","076802","5104519","00607"
"CiÍcina Dolna","4406","076810","5104563",""
"Basznia","3029","084830","5100369",""
"Zgorzelec Gr","8822","051813","",""
"Granica PaÒstwa","0823","057232","",""
"TarnÛw Klikowa","3111","080721","5100300",""
"D BICA","0031","081208","5100228","00016"
"Sobieradz","8342","000984","5103526",""
"Szcz.Zdroje","8392","001123","5103404",""
"Rzepnowo","8322","002873","",""
"Jelenino","8148","003111","5101425",""
"Gumieniec","8137","004838","",""
"Jezierzyce S≥up.","8149","004887","5101502","01135"
"Mokrzyca","8234","004960","5102320",""
"GodÍtowo","5184","005413","5101217","00934"
"BytÛw","8060","005553","5106551",""
"Gdynia GrabÛwek","5167","006056","5101110",""
"Swarzewo","5608","006726","5103692","00817"
"GdaÒsk Lipce","5147","007245","5101114",""
"Gd.Politechnika","5154","007526","5101117",""
"Bzowiec","5080","009290","5100665",""
"Barczewo","5029","009365","5100683","01065"
"Dobrocin","5114","011148","5100962",""
"Raczki","1381","012195","5103022","00310"
"Stare Guty","1430","012351","5103389",""
"Baranowo","1030","012567","5100546",""
"RadÛw","8301","013110","5103067",""
"KlÍpicz","8166","013292","",""
"DÍbno Lubuskie","8091","013508","",""
"Øukowice","6559","042358","5104394",""
"Nielubia","6291","042366","5102442",""
"K≥obuczyn","6189","042374","5101659",""
"Lipno Nowe","7253","042648","5102069","00567"
"Paw≥owice","7354","042770","5102679",""
"DziÍczyn","7121","042796","5100913",""
"Nowy Widzim","7318","043273","5102491",""
"Perkowo","7359","043323","5102729",""
"Daniszyn","7099","044081","5100894",""
"MIESZK”W","7281","044735","5102385",""
"BedoÒ","1035","046466","5100407",""
"G≥owno","0410","046862","5100326","01067"
"Gorzkowice","1136","047829","5101324","00504"
"Szyd≥owiec","2258","048082","5103698","00980"
"IDZIKOWICE","2086","048926","5101367",""
"Ciecierzyn","2050","050633","5100742","01020"
"Frono≥Ûw","1122","039784","5101050",""
"Sosnowe","1427","039842","5103540","00636"
"Ødøary","1552","040212","5104276",""
"Stare Bojanowo","7469","042671","5103278","00678"
"RAWICZ","0171","044305","5100202","00268"
"Chwa≥kowo KoúÊ.","7081","045153","5100716",""
"OstrzeszÛw","7338","045476","5100223","00557"
"Czastary","7094","045641","5100869",""
"Stradomia","7479","045823","5103622",""
"Koümin Wlkp.","7216","046201","5101675",""
"Zgierz","0702","046805","5104308","00775"
"Domaniewice","1115","046870","5100971",""
"P≥yÊwia","1350","047365","5102816","00762"
"Goúniewice","2073","048645","5101269",""
"JASICE","2090","049437","5101373",""
"Jakubowice","2089","049452","5101430",""
"Podzamcze","2314","050518","5104477",""
"Trawniki","2268","050666","5103837","00687"
"Øulin","2310","051235","5104390",""
"PatkÛw","1340","039750","5102676",""
"Wa≥brzych Miasto","6487","054551","5100210","00134"
"Szybowice Wa≥b.","6453","055137","",""
"LotyÒ","8204","003194","5102086",""
"Øelis≥awie Pom.","8459","003350","5104353",""
"TymieÒ","8417","004465","5103876",""
"KARTUZY","0070","018002","5101816",""
"Sierakowice","5561","018135","5103580",""
"Samostrzel","5556","018234","5103270",""
"Sieradz MÍka","7447","019505","5103336",""
"Grudz.Przedmieú.","5213","020636","5101258",""
"Narzym","5405","022434","5102403",""
"Brachlewo","5049","023192","5100553",""
"Chorzele","1074","023416","5100798",""
"Wielbark","0238","023432","5104007",""
"Kurpie","1232","023440","5101744",""
"Knyszyn","1201","024091","5101713","00825"
"ZB•SZY—","7559","026146","5104258","00193"
"Che≥msko","7072","026658","5100758",""
"Stara £ubianka","8348","016444","5103590","01144"
"Kaümierz Wielkop","7185","027110","5101910",""
"Buk","7063","027235","5100596","00708"
"Bia≥a GÛrna","6029","054064","5100674",""
"Wierzbowa ålπska","6494","054254","5103949",""
"JELENIA G”RA","0063","055806","5100259","00037"
"JeøÛw Sudecki","6174","055822","5101417",""
"Ludynia","2137","064725","5102145",""
"Nisko","2163","065094","5102447","00999"
"Rudnik N/Sanem","2203","065144","5103112","00890"
"MarczÛw","6264","055939","5102187",""
"PÍgÛw","6338","058776","5102721","00355"
"Oleúnica Rataje","6311","059576","5100245","00244"
"Je≥owa","6169","060939","5101437",""
"Mπkoszyce","6265","061150","5102271",""
"Zimna WÛdka","6551","061754","",""
"OPOLE GROSZOWICE","6317","062000","5102588",""
"Dubidze","4255","063172","5102719",""
"Grochowiska","2079","064048","5101145",""
"SÍdziszÛw","2212","064303","5100208","00269"
"ZarÍba","6540","052522","5104380",""
"LEGNICA","0099","053009","5100035","00061"
"MARCISZ”W","0905","055608","5100078","00197"
"LESZCZYNY","4195","068064","5101991","00793"
"Jaroszowiec Olk.","4122","074310","5101449",""
"Pierúciec","4256","075762","5102689",""
"Pruchna","4265","075853","5102948",""
"WÍgierska GÛrka","4362","076737","5103941","01001"
"GoleszÛw GÛrny","4110","076927","5101276",""
"LÍdziny","4196","077446","5103874",""
"Pogorzyce","3223","077867","5102866",""
"PrzeciszÛw","3228","078121","5102993",""
"Raba Niøna","3240","078758","5103125",""
"Sieniawa","3269","078840","5103518","00645"
"KRAK”W BATOWICE","3122","079236","5101756","00522"
"Niiedzieliska-Ko","2106","066076","5101663","00833"
"Bi≥goraj","2029","066407","5100438","00828"
"Huta DerÍgowska","2084","066548","5101348",""
"Raszowa","4275","067116","5103031",""
"BABOR”W","0901","067249","",""
"Radnica","7420","027540","5103063",""
"Ciemnice","7083","027615","5100739",""
"Wilkowo åwieb.","7538","028159","5104044",""
"TOPOR”W","7509","028183","5103807",""
"Binino","7035","028860","5100502",""
"Wronki","0249","028969","5104135","00271"
"Roønowo","7433","029652","5103130",""
"Druøyna Pozn.","7112","030460","5100990","01007"
"Obora Wielkopols","7319","031047","5102525",""
"Gπcz","7126","031922","",""
"Jankowo Dolne","7168","032060","5101441",""
"Zalesie GÛrne","1543","033928","5104344",""
"WitanÛw","1521","034371","5104025",""
"Øarki Wielkie","7566","041780","5104384",""
"GrÍbocice","6142","042440","5101130","00380"
"Brzeg G≥ogowski","6058","042473","5100422","00968"
"Ruchocice","7434","043067","5103180",""
"W≥ostowo","7542","044172","5104076",""
"SÍdzice","7444","045351","5103337",""
"Szcz.£Íkno","8383","000422","5103314","00960"
"Szcz. Øelechowo","8394","000539","5103503",""
"Jasienica","8144","000752","5101463",""
"Krzywin Gryf.","8192","000893","5101595",""
"Osina","8264","001875","5102622","00549"
"Kolin","8175","002329","5101723",""
"Tarnowo Pom.","8403","002428","5103768",""
"Barzkowice","8028","002436","5100472",""
"Ognica","8260","002451","5102540",""
"Przeradz","8296","003046","5103005",""
"Roz≥azino","5531","005454","5103120",""
"Goúcicino Wejh.","5196","006593","5101302","00935"
"TCZEW","0221","007112","5100061","00127"
"Øelis≥awki","5738","007187","5104348",""
"Rytel","5551","008946","5103210","01156"
"BRANIEWO","0405","011254","5100302","00299"
"Siedliska","1409","012633","5103395","00821"
"Drawno","8105","015073","5100981",""
"Dolnik","8102","015545","5100969",""
"SkÛrka","8333","015552","5103431",""
"T≥ustomosty","6470","067439","5103790",""
"Gorlice","3077","081760","5101230",""
"N.Sπcz Jamnica","3201","082149","5102480",""
"Wierchomla Wlk.","3325","082578","5103962","00996"
"Krosno TuraszÛw.","3142","083550","5101774","00454"
"Medyka","0120","084509","5102215","00237"
"Gdynia Cisowa","5744","085498","5104585",""
"SZCZ.GUM/TANT GR","8817","000372","",""
"Medyka Gr.P.","0962","084558","5104533",""
"Granica PaÒstwa","0826","075556","5104532",""
"Olesno Tarnows.","3205","080820","5102572",""
"Wa≥ki","3318","080937","5104047",""
"KochanÛwka Pust.","3114","081364","5101557",""
"Recz Pom.","8306","002477","5103091","01011"
"Kozielice","8183","002790","",""
"Drzonowo","8107","003079","5100958",""
"Bia≥y BÛr","8036","003087","5100382",""
"Przytocko","8298","004598","5103004",""
"Ustka","0232","004952","5100063","00133"
"WieluÒ Dπbrowa","0284","045674","5100256",""
"Wπgry","1515","047324","5104003","00758"
"KÍty","4162","076232","5101588","00464"
"Rycerka","4297","076828","5103206",""
"Baøanowice","4024","076935","5101280",""
"UstroÒ ZdrÛj","4359","076968","5103919","00723"
"Jawiszow. Jaünik","4131","077230","5101426",""
"Dwory","4099","077461","5101014",""
"Spytkowice","0717","078006","5103562",""
"Kasina Wielka","3107","078782","5101789",""
"ZastÛw","3349","079327","5104252",""
"Kr.Swoszowice","3137","080044","5101642","00859"
"Wola Radziszow.","3336","080168","5104068","00898"
"KÍdzierzyn-K.Azo","4158","067157","5101579","01116"
"Ptaszkowa","3236","081687","5102922",""
"NOWY S•CZ","0134","081901","5100042","00077"
"StraøÛw","3286","082636","5103635",""
"TryÒcza","3306","083147","5103838",""
"Jelna","3100","083238","5101402",""
"Lipienica","5338","016576","5102092",""
"Bydg. Brdyujúcie","5072","016741","5100644",""
"Radzymin","1384","038174","5103217",""
"WWA WSCHODNIA","0244","038653","5100066","00138"
"Wwa MiÍdzylesie","1486","038778","5104080",""
"Chrosna","1078","038968","5100722",""
"Z≥otniki","7565","028647","5104350",""
"Chludowo","7073","028696","5100759",""
"Drawiny","8104","029157","5100992",""
"Kostrzyn Wlkp.","7211","030064","5101819",""
"DÍbnica Wlkp.","7103","031054","5101012",""
"Kobylec","7196","031336","5101529",""
"Dπbrowa MiÍdzyl.","7100","031831","",""
"Jackowice","1164","032474","5101371",""
"Wwa årÛdmieúcie","1502","033571","5100246","00319"
"Radziwi≥≥Ûw Maz","1383","034249","5103026","00334"
"JaktorÛw","1165","034322","5101429","00463"
"CiechanÛw","0020","036939","5100095","00221"
"Sopot","0190","005942","5100056","00115"
"Rumia Janowo","5539","006080","5103103",""
"Fiszewo","5131","007914","5101054",""
"Komorowo Øu≥aw.","5285","007955","5101871",""
"Kadyny","5253","008318","5101507",""
"Tolkmicko","5644","008326","5103802",""
